Order Number,Toothbrush Type,Order Date,Customer Age,Order Quantity,Delivery Postcode,Billing Postcode,is_first,Dispatch Status,Dispatched Date,Delivery Status,Delivery Date
BRU00005683,Toothbrush 2000,2021-11-01 06:03:12.271019600,64,2,b210su,dh31pz,1,Dispatched,2021-11-01 12:50:06.045743600,Delivered,2021-11-03 04:06:27.720919999
BRU00004588,Toothbrush 2000,2022-07-06 17:31:55.991435600,61,9,cv23ln,bs408yt,1,Dispatched,2022-07-07 00:39:36.223856000,Delivered,2022-07-08 03:50:55.597787600
BRU00001223,Toothbrush 2000,2021-06-24 05:47:22.736260000,59,1,ig74ds,bs320ew,1,Dispatched,2021-06-24 13:29:16.997197600,Delivered,2021-06-25 21:11:04.196137600
BRU00000548,Toothbrush 2000,2021-06-05 09:29:39.925778800,96,7,dd81qb,bl83dt,1,Dispatched,2021-06-05 17:45:49.174543600,Delivered,2021-06-06 16:34:19.788054400
BRU00002906,Toothbrush 2000,2022-09-06 00:30:35.403660400,65,7,ex393jr,ct195sx,1,Dispatched,2022-09-06 08:01:52.427669200,Delivered,2022-09-07 11:20:02.584291600
BRU00001199,Toothbrush 2000,2021-03-24 02:38:08.983466800,84,7,hd22ry,gu266qj,1,Dispatched,2021-03-24 09:30:05.602308400,Delivered,2021-03-25 12:39:34.303927600
BRU00001087,Toothbrush 4000,2022-07-05 06:21:59.716108400,22,5,bl36na,bl97dq,1,Dispatched,2022-07-05 13:36:21.636939200,Delivered,2022-07-06 22:51:10.714308800
BRU00000539,Toothbrush 4000,2022-11-29 07:27:51.959654400,26,7,cf382rp,bs16dp,1,Dispatched,2022-11-29 14:27:03.170877600,Delivered,2022-11-30 21:03:14.266592399
BRU00004595,Toothbrush 4000,2022-09-25 20:18:20.816720800,25,8,ch608pt,ab548hz,1,Dispatched,2022-09-26 02:48:19.097933200,Delivered,2022-09-26 23:44:53.228977600
BRU00005511,Toothbrush 4000,2021-09-21 19:21:37.795521200,10,4,dd54bj,ip121pg,1,Dispatched,2021-09-22 02:29:00.017739200,Delivered,2021-09-23 02:44:52.060862000
BRU00000511,Toothbrush 2000,2021-04-05 02:20:35.728690800,55,9,fk147jf,ig12pz,1,Dispatched,2021-04-05 09:09:39.873976800,Delivered,2021-04-06 10:48:13.335475200
BRU00004323,Toothbrush 4000,2021-09-16 16:27:21.208343600,26,8,ct70jl,ip38sf,1,Dispatched,2021-09-16 23:29:11.965212800,Delivered,2021-09-18 02:59:58.873832000
BRU00001931,Toothbrush 4000,2021-07-28 17:16:49.418535200,27,3,dg29uq,co153at,1,Dispatched,2021-07-29 00:57:44.945346800,Delivered,2021-07-30 01:10:17.136626000
BRU00003653,Toothbrush 2000,2022-09-08 20:21:53.363222000,89,9,ex198jx,al60nw,1,Dispatched,2022-09-09 03:23:31.900467200,Delivered,2022-09-10 08:40:49.670735599
BRU00002578,Toothbrush 2000,2021-01-16 12:34:17.026934000,74,2,b807ny,eh177dp,1,Dispatched,2021-01-16 19:37:49.476761600,Delivered,2021-01-18 08:46:09.427071200
BRU00000241,Toothbrush 2000,2022-09-25 09:46:26.328578800,72,3,b708qf,cv24hu,1,Dispatched,2022-09-25 16:13:01.455707200,Delivered,2022-09-26 17:10:49.392187600
BRU00000927,Toothbrush 2000,2022-11-11 14:55:13.751376800,83,4,e78ng,eh35bn,1,Dispatched,2022-11-11 21:31:26.064492799,Delivered,2022-11-12 23:58:30.123028399
BRU00002734,Toothbrush 4000,2022-01-01 12:09:52.472070000,42,7,dn215xl,e105ua,1,Dispatched,2022-01-01 19:33:43.308583200,Delivered,2022-01-02 15:50:42.518227199
BRU00001548,Toothbrush 2000,2021-08-02 04:42:08.685271200,75,2,ab418nq,hd33lj,1,Dispatched,2021-08-02 11:03:59.458008000,Delivered,2021-08-03 13:06:17.857783200
BRU00001178,Toothbrush 2000,2021-10-17 18:16:18.725235200,54,6,ha39sq,ex43rp,1,Dispatched,2021-10-18 01:20:05.300408000,Delivered,2021-10-19 04:43:14.617077200
BRU00004080,Toothbrush 2000,2022-02-03 22:30:59.001406400,72,2,ca27ll,dh58hg,1,Dispatched,2022-02-04 05:49:43.529003600,Delivered,2022-02-05 04:41:16.218076400
BRU00001298,Toothbrush 4000,2022-10-14 04:19:36.209624400,29,5,b193ua,eh114na,1,Dispatched,2022-10-14 10:54:17.438553600,Delivered,2022-10-15 12:38:57.677502000
BRU00002095,Toothbrush 2000,2022-07-23 00:13:57.638002800,62,2,bs309bp,ab219tr,1,Dispatched,2022-07-23 06:47:23.493937199,Delivered,2022-07-24 08:12:48.895232399
BRU00004092,Toothbrush 2000,2022-08-07 22:27:09.081714000,78,3,cr53bb,b706hn,1,Dispatched,2022-08-08 05:52:06.890420400,Delivered,2022-08-09 15:20:14.579816400
BRU00000989,Toothbrush 4000,2021-05-15 14:01:16.596582000,24,8,bn436hx,fk83qd,1,Dispatched,2021-05-15 21:01:54.316172400,Delivered,2021-05-16 13:53:38.675865600
BRU00004326,Toothbrush 4000,2022-03-06 16:24:38.610519200,8,7,ch87px,cf627fl,1,Dispatched,2022-03-06 23:19:19.855967600,Delivered,2022-03-08 04:32:50.435142800
BRU00004547,Toothbrush 4000,2021-05-02 03:16:49.583824000,35,2,cv219le,g444bd,1,Dispatched,2021-05-02 09:27:15.652861600,Delivered,2021-05-03 13:09:04.209354400
BRU00005271,Toothbrush 2000,2021-06-08 00:14:29.302408800,79,1,eh92bt,g716en,1,Dispatched,2021-06-08 06:53:55.152360000,Delivered,2021-06-09 09:58:23.984775600
BRU00000912,Toothbrush 2000,2021-04-08 18:17:54.621268000,50,5,gu98px,ct65hr,1,Dispatched,2021-04-09 01:14:16.334051200,Delivered,2021-04-10 02:55:38.270048800
BRU00000592,Toothbrush 4000,2022-05-21 04:16:45.660069200,19,6,co148sa,dt28fr,1,Dispatched,2022-05-21 11:33:18.737111600,Delivered,2022-05-22 18:11:08.312784800
BRU00001971,Toothbrush 4000,2021-03-26 08:37:00.356537600,9,1,ex327dr,cv379hx,1,Dispatched,2021-03-26 15:58:26.189147600,Delivered,2021-03-27 23:09:49.022218400
BRU00001308,Toothbrush 2000,2022-10-23 15:47:46.441798400,74,6,ha90ls,e140pj,1,Dispatched,2022-10-23 23:10:06.517815200,Delivered,2022-10-25 05:19:18.972569600
BRU00002991,Toothbrush 4000,2021-07-21 06:58:02.215106400,16,3,cv32dq,ip124td,1,Dispatched,2021-07-21 13:56:07.340168400,Delivered,2021-07-22 20:43:39.509050800
BRU00000169,Toothbrush 2000,2022-02-12 05:03:21.643468800,57,3,gl504lj,bl65be,1,Dispatched,2022-02-12 12:06:04.261520400,Delivered,2022-02-13 10:03:11.100876000
BRU00002589,Toothbrush 4000,2022-08-26 08:22:20.015135200,9,4,bn11eb,dg27pf,1,Dispatched,2022-08-26 15:10:11.638464400,Delivered,2022-08-27 19:24:01.487881600
BRU00003488,Toothbrush 4000,2022-09-05 12:38:18.769100400,23,8,g697nj,de551bg,1,Dispatched,2022-09-05 19:23:32.969088000,Delivered,2022-09-06 20:21:50.307013200
BRU00000656,Toothbrush 2000,2021-03-20 16:11:23.699328800,60,8,bn119za,ip295ay,1,Dispatched,2021-03-20 23:19:42.530549600,Delivered,2021-03-21 16:46:27.025601600
BRU00004487,Toothbrush 2000,2022-05-22 22:06:40.531276400,75,2,en76bl,ip28he,1,Dispatched,2022-05-23 05:24:29.856509600,Delivered,2022-05-24 06:18:34.286453600
BRU00000744,Toothbrush 2000,2022-11-20 16:30:53.819333600,71,9,hx13uz,ab535uh,1,Dispatched,2022-11-21 00:27:12.092964800,Delivered,2022-11-21 23:53:24.265611200
BRU00000048,Toothbrush 4000,2021-06-19 03:57:42.335368800,12,6,b455dp,br54lu,1,Dispatched,2021-06-19 10:49:27.559965600,Delivered,2021-06-20 13:58:31.256589600
BRU00003809,Toothbrush 2000,2021-07-29 21:33:02.803407200,101,1,cv311tl,da129lr,1,Dispatched,2021-07-30 05:25:35.494115600,Delivered,2021-07-31 16:56:13.746444800
BRU00002091,Toothbrush 4000,2021-02-05 00:39:50.414417200,19,7,g776nl,bd23rx,1,Dispatched,2021-02-05 07:25:15.050189200,Delivered,2021-02-06 09:09:01.000180000
BRU00004327,Toothbrush 2000,2022-10-13 16:30:19.902390400,71,1,dt28ez,ex46dw,1,Dispatched,2022-10-13 22:08:38.451968800,Delivered,2022-10-15 02:08:17.258635600
BRU00003334,Toothbrush 2000,2021-05-27 00:43:15.265448000,71,7,dd13bg,ec1p1pb,1,Dispatched,2021-05-27 07:06:03.231384800,Delivered,2021-05-28 11:38:17.633622800
BRU00002526,Toothbrush 4000,2022-07-31 20:52:00.897542800,10,7,hg33qu,ca124rr,1,Dispatched,2022-08-01 04:00:05.696053600,Delivered,2022-08-02 09:18:05.039363200
BRU00005046,Toothbrush 4000,2021-06-14 21:27:02.285961600,26,5,b647lq,g427pu,1,Dispatched,2021-06-15 04:40:51.925326000,Delivered,2021-06-16 05:38:25.585268400
BRU00003210,Toothbrush 2000,2022-06-17 08:42:45.856669200,84,7,cw60fz,gu12tr,1,Dispatched,2022-06-17 16:24:45.364858800,Delivered,2022-06-19 04:58:09.879328799
BRU00004475,Toothbrush 2000,2021-03-18 03:06:00.246395600,79,5,cf828dn,ba201fe,1,Dispatched,2021-03-18 10:18:28.263719600,Delivered,2021-03-19 17:47:32.497318400
BRU00005476,Toothbrush 4000,2022-09-21 13:20:17.844978800,18,4,fk41hb,hp279sp,1,Dispatched,2022-09-21 21:10:15.233170400,Delivered,2022-09-23 03:11:19.584416000
BRU00003115,Toothbrush 2000,2022-10-09 09:36:06.083016800,60,3,gl519dw,cb249js,1,Dispatched,2022-10-09 17:01:23.973434000,Delivered,2022-10-10 09:36:00.771940400
BRU00003025,Toothbrush 2000,2021-05-19 20:57:41.366474800,80,3,ip224wr,b706rp,1,Dispatched,2021-05-20 04:06:15.395236000,Delivered,2021-05-21 09:38:52.931412400
BRU00004302,Toothbrush 4000,2021-06-19 23:16:05.535546800,33,8,hr13qp,hr97dj,1,Dispatched,2021-06-20 06:06:05.275805600,Delivered,2021-06-21 07:48:00.695471600
BRU00000160,Toothbrush 2000,2021-08-21 23:39:06.156314800,63,3,hs33bj,b966pa,1,Dispatched,2021-08-22 07:06:21.762336400,Delivered,2021-08-23 10:12:02.986205200
BRU00004468,Toothbrush 4000,2022-02-03 20:59:22.585523600,31,8,bd249re,ct130re,1,Dispatched,2022-02-04 04:04:35.148021200,Delivered,2022-02-05 10:05:35.151399199
BRU00003106,Toothbrush 4000,2022-03-19 04:58:45.259529200,20,5,ha85lf,g420jq,1,Dispatched,2022-03-19 12:06:18.669827200,Delivered,2022-03-20 19:36:57.872808399
BRU00000767,Toothbrush 2000,2022-08-11 05:29:47.141474000,69,2,de655ax,ex226ab,1,Dispatched,2022-08-11 12:00:57.229838000,Delivered,2022-08-12 14:39:57.403631600
BRU00004264,Toothbrush 2000,2022-11-27 09:12:58.503939600,68,1,da99te,cb41ua,1,Dispatched,2022-11-27 15:54:29.703568800,Delivered,2022-11-28 21:25:33.261464400
BRU00002306,Toothbrush 4000,2022-05-08 02:56:31.521646800,12,3,hp109uj,cb74tu,1,Dispatched,2022-05-08 10:11:16.101874800,Delivered,2022-05-09 10:15:21.188344800
BRU00001805,Toothbrush 4000,2022-05-25 01:40:40.019159600,19,1,e130je,co38af,1,Dispatched,2022-05-25 08:58:13.401807200,Delivered,2022-05-26 16:05:07.909659200
BRU00002740,Toothbrush 2000,2021-11-05 22:47:17.651173600,69,5,da11yy,hx35wq,1,Dispatched,2021-11-06 06:52:55.151836000,Delivered,2021-11-07 09:53:14.804203600
BRU00001258,Toothbrush 2000,2022-08-16 04:43:33.765349600,59,7,ex201hx,bb102su,1,Dispatched,2022-08-16 12:27:11.027060800,Delivered,2022-08-17 19:01:34.635005200
BRU00005338,Toothbrush 2000,2021-03-25 06:33:52.119108400,59,6,b377un,dn104jn,1,Dispatched,2021-03-25 13:39:19.646863600,Delivered,2021-03-26 12:36:58.543240000
BRU00002900,Toothbrush 4000,2021-10-22 02:37:56.724155200,19,3,co39th,ct126ue,1,Dispatched,2021-10-22 09:34:44.747063200,Delivered,2021-10-23 07:53:26.804182000
BRU00001371,Toothbrush 4000,2022-06-12 15:58:31.808752000,14,2,de76xd,cw109ad,1,Dispatched,2022-06-12 23:22:59.902633600,Delivered,2022-06-13 23:29:07.370185600
BRU00001341,Toothbrush 2000,2022-09-04 17:49:17.032391200,68,4,eh35bl,eh75pb,1,Dispatched,2022-09-05 00:34:00.071138800,Delivered,2022-09-06 01:20:42.511496800
BRU00002010,Toothbrush 4000,2021-11-30 16:04:34.170538800,20,8,eh470ly,b938ef,1,Dispatched,2021-11-30 22:47:07.329440400,Delivered,2021-12-01 19:37:56.857929600
BRU00003627,Toothbrush 4000,2021-01-19 08:06:26.157215200,30,2,cb102qz,hu35jl,1,Dispatched,2021-01-19 15:11:10.343508400,Delivered,2021-01-20 15:41:45.362061999
BRU00000807,Toothbrush 4000,2021-01-19 01:58:03.518209600,46,2,bd132dz,de75ag,1,Dispatched,2021-01-19 09:10:42.805679200,Delivered,2021-01-20 17:02:53.835932800
BRU00000318,Toothbrush 2000,2021-03-07 20:27:14.872415200,56,1,ex340hr,g673ed,1,Dispatched,2021-03-08 02:49:17.220444400,Delivered,2021-03-09 04:27:54.363626800
BRU00002853,Toothbrush 4000,2021-06-17 11:04:20.362111600,22,8,eh470hs,gy14bf,1,Dispatched,2021-06-17 18:05:35.246824000,Delivered,2021-06-18 22:44:34.454233600
BRU00002274,Toothbrush 4000,2022-01-25 10:33:18.248880800,30,2,eh113nj,gu148pu,1,Dispatched,2022-01-25 17:34:04.430696000,Delivered,2022-01-26 15:25:11.341709600
BRU00005604,Toothbrush 4000,2022-03-26 21:05:40.811864400,8,5,dd111by,ex12an,1,Dispatched,2022-03-27 05:10:38.493175200,Delivered,2022-03-28 08:37:07.535112000
BRU00005210,Toothbrush 2000,2022-08-08 17:03:27.882262400,80,4,al51dl,al73rj,1,Dispatched,2022-08-09 00:20:53.550945200,Delivered,2022-08-10 04:36:04.456562000
BRU00003502,Toothbrush 2000,2021-11-26 17:09:29.712812000,66,9,dn33jn,gl103wj,1,Dispatched,2021-11-27 00:25:35.974664000,Delivered,2021-11-28 12:44:13.124302400
BRU00000790,Toothbrush 4000,2021-08-05 19:40:22.816798800,37,3,gl73ex,hp12dl,1,Dispatched,2021-08-06 01:39:35.719986000,Delivered,2021-08-06 21:01:07.795334400
BRU00003402,Toothbrush 2000,2022-06-09 19:25:18.494506400,78,6,gl516ba,b618ax,1,Dispatched,2022-06-10 03:42:17.170814000,Delivered,2022-06-11 04:25:28.706633600
BRU00002413,Toothbrush 2000,2021-08-10 20:25:40.864887200,68,2,eh193dz,da37nl,1,Dispatched,2021-08-11 03:52:38.214045200,Delivered,2021-08-12 03:46:13.857453200
BRU00000118,Toothbrush 4000,2022-08-13 23:50:08.047367200,40,8,cf440ej,dd111gz,1,Dispatched,2022-08-14 07:36:53.700271600,Delivered,2022-08-15 09:15:05.748336400
BRU00004166,Toothbrush 4000,2022-11-23 16:59:16.396170000,2,2,hp189fu,e10nj,1,Dispatched,2022-11-23 23:48:51.434773200,Delivered,2022-11-25 05:32:07.174888800
BRU00003924,Toothbrush 2000,2021-08-09 09:40:10.308444800,87,7,de130tq,ab159bx,1,Dispatched,2021-08-09 16:04:11.149905200,Delivered,2021-08-10 23:19:30.950405600
BRU00003922,Toothbrush 2000,2021-08-07 10:03:00.606193599,65,4,hr48pt,bh228be,1,Dispatched,2021-08-07 16:34:26.188179999,Delivered,2021-08-08 19:57:24.953778399
BRU00004587,Toothbrush 2000,2022-01-11 12:53:47.732740000,89,2,hp70qe,gl142ns,1,Dispatched,2022-01-11 20:02:32.360578000,Delivered,2022-01-12 22:59:54.919261600
BRU00001053,Toothbrush 2000,2022-04-14 09:38:31.267007600,60,6,ch614ya,hp143uj,1,Dispatched,2022-04-14 16:49:47.071020800,Delivered,2022-04-15 20:35:50.763614000
BRU00001863,Toothbrush 2000,2022-10-02 01:02:40.416652000,87,9,dn121ju,eh329gb,1,Dispatched,2022-10-02 08:46:18.239333200,Delivered,2022-10-03 10:49:22.858918000
BRU00002692,Toothbrush 4000,2021-08-15 15:12:01.325536800,35,7,dn31dw,cv344pt,1,Dispatched,2021-08-15 23:36:16.887051600,Delivered,2021-08-17 00:36:58.500909600
BRU00003223,Toothbrush 4000,2021-01-07 22:07:17.030514800,15,2,da117bu,g816ax,1,Dispatched,2021-01-08 05:00:52.169026400,Delivered,2021-01-09 12:30:15.035256800
BRU00004984,Toothbrush 4000,2021-01-22 00:53:55.637320800,19,2,ig12ed,b781pl,1,Dispatched,2021-01-22 07:14:00.229072800,Delivered,2021-01-23 16:02:12.111661200
BRU00001974,Toothbrush 4000,2021-02-20 01:59:50.192376000,33,6,bs309sz,cm16tw,1,Dispatched,2021-02-20 09:20:59.854549200,Delivered,2021-02-21 14:09:53.500402800
BRU00002247,Toothbrush 4000,2022-08-31 19:15:47.839231200,20,2,b980ad,bs207hq,1,Dispatched,2022-09-01 02:26:24.051891600,Delivered,2022-09-02 10:34:44.842246800
BRU00005503,Toothbrush 4000,2021-04-23 01:36:11.675947200,8,1,en76ua,dh31er,1,Dispatched,2021-04-23 08:36:02.704671600,Delivered,2021-04-24 11:09:48.204661200
BRU00000409,Toothbrush 4000,2021-03-22 05:36:07.633362799,35,5,e95bb,ct170uu,1,Dispatched,2021-03-22 13:06:58.034518399,Delivered,2021-03-23 14:34:39.913444399
BRU00004641,Toothbrush 2000,2022-09-17 06:40:20.388900800,79,4,ec2m5qa,b261hh,1,Dispatched,2022-09-17 13:19:08.840802800,Delivered,2022-09-18 16:19:56.896767200
BRU00002786,Toothbrush 4000,2021-07-01 15:50:12.674569200,22,8,g727ef,hg59ng,1,Dispatched,2021-07-01 22:38:04.947327600,Delivered,2021-07-03 01:36:01.435780800
BRU00003548,Toothbrush 2000,2021-02-05 21:02:40.808340400,65,4,im34na,cv12ue,1,Dispatched,2021-02-06 04:28:18.784468000,Delivered,2021-02-07 04:28:32.341826800
BRU00005249,Toothbrush 2000,2021-01-25 00:59:21.959808000,81,2,b311ep,bs484ba,1,Dispatched,2021-01-25 08:43:27.770160000,Delivered,2021-01-26 11:30:25.029403200
BRU00000297,Toothbrush 4000,2022-11-05 12:57:13.181506800,41,1,b966lt,cf828al,1,Dispatched,2022-11-05 20:26:25.250120400,Delivered,2022-11-06 20:51:30.289326000
BRU00002405,Toothbrush 2000,2021-12-22 15:31:41.507885200,85,6,da158wq,dn33lb,1,Dispatched,2021-12-22 22:27:03.110809600,Delivered,2021-12-23 23:56:37.058228800
BRU00001651,Toothbrush 4000,2021-08-13 01:34:27.408043200,28,5,ca119nl,hp219fu,1,Dispatched,2021-08-13 08:11:14.740803600,Delivered,2021-08-14 09:41:06.453819600
BRU00003552,Toothbrush 4000,2021-01-19 01:16:26.047392000,19,3,da11rl,gu124ga,1,Dispatched,2021-01-19 09:21:42.269718000,Delivered,2021-01-20 13:07:33.516276000
BRU00005399,Toothbrush 4000,2021-03-26 22:11:21.116146000,33,9,de138qe,cb19hz,1,Dispatched,2021-03-27 04:54:28.858202800,Delivered,2021-03-28 13:56:32.520359200
BRU00002861,Toothbrush 4000,2021-02-01 07:07:36.456154400,33,1,cm26eb,b95qx,1,Dispatched,2021-02-01 14:25:12.825066800,Delivered,2021-02-02 18:40:31.498738400
BRU00002058,Toothbrush 2000,2022-07-23 21:54:50.058893200,79,2,ab355uj,e139gd,1,Dispatched,2022-07-24 04:41:23.759549200,Delivered,2022-07-25 09:32:07.405048000
BRU00003515,Toothbrush 4000,2022-07-02 12:04:25.548629600,27,9,cw111jx,ex165df,1,Dispatched,2022-07-02 19:31:50.700785600,Delivered,2022-07-04 02:26:26.384820800
BRU00001363,Toothbrush 4000,2022-03-28 01:32:00.008689600,35,5,da175lf,ba127hx,1,Dispatched,2022-03-28 08:22:53.367704800,Delivered,2022-03-29 11:06:09.643630000
BRU00003416,Toothbrush 4000,2022-04-08 17:08:42.921234400,21,6,co93nn,cm31ll,1,Dispatched,2022-04-09 00:20:28.474402000,Delivered,2022-04-10 02:29:36.385394799
BRU00002204,Toothbrush 4000,2021-11-17 15:06:04.061818400,22,7,hu170dh,hp39lh,1,Dispatched,2021-11-17 21:02:20.979200000,Delivered,2021-11-19 00:35:35.805152000
BRU00004114,Toothbrush 4000,2022-04-08 04:55:59.223276400,25,7,b109ll,gl528sa,1,Dispatched,2022-04-08 11:45:49.150882000,Delivered,2022-04-09 19:29:59.480584000
BRU00002549,Toothbrush 4000,2022-07-30 03:18:48.985585600,28,6,de78aa,dh33qh,1,Dispatched,2022-07-30 11:19:13.241291200,Delivered,2022-07-31 13:34:15.575261200
BRU00001633,Toothbrush 2000,2021-08-10 10:57:33.465628000,78,8,ca72nr,ch74ja,1,Dispatched,2021-08-10 18:36:18.488980000,Delivered,2021-08-11 13:59:18.610450000
BRU00004561,Toothbrush 2000,2021-03-12 20:52:54.316938000,59,6,bn237qa,de723dh,1,Dispatched,2021-03-13 03:34:12.701596800,Delivered,2021-03-14 06:27:23.263318800
BRU00002691,Toothbrush 2000,2022-10-06 09:55:24.723805200,82,7,ch54lr,de65hg,1,Dispatched,2022-10-06 16:55:30.721732800,Delivered,2022-10-07 20:17:29.877814800
BRU00003349,Toothbrush 4000,2021-01-12 22:01:17.951709200,27,5,bd150jb,cf818nx,1,Dispatched,2021-01-13 04:57:35.728338800,Delivered,2021-01-14 08:49:52.422699200
BRU00003134,Toothbrush 4000,2021-11-12 12:44:51.408398400,19,4,ch480rs,g36hj,1,Dispatched,2021-11-12 19:56:50.975725200,Delivered,2021-11-14 02:41:10.500939600
BRU00003278,Toothbrush 4000,2022-08-02 17:49:24.350940800,29,7,hp92se,e79jz,1,Dispatched,2022-08-03 01:08:01.095604400,Delivered,2022-08-04 07:28:00.213599600
BRU00001113,Toothbrush 2000,2022-07-12 18:43:25.078398400,76,5,co85an,ab251ly,1,Dispatched,2022-07-13 01:41:33.980602000,Delivered,2022-07-14 05:42:39.142096000
BRU00001608,Toothbrush 4000,2022-09-17 14:27:53.570326400,29,7,eh139jn,ip224nz,1,Dispatched,2022-09-17 21:37:48.606323600,Delivered,2022-09-18 19:45:29.908070000
BRU00000445,Toothbrush 4000,2022-07-04 22:54:06.969317600,11,7,en12rw,bn21lt,1,Dispatched,2022-07-05 05:38:19.371287600,Delivered,2022-07-06 01:20:00.593615600
BRU00002973,Toothbrush 2000,2021-08-17 21:26:05.292892800,69,4,da159ny,g334px,1,Dispatched,2021-08-18 04:27:09.324094800,Delivered,2021-08-19 08:04:52.404162000
BRU00005284,Toothbrush 2000,2021-10-30 23:34:09.292864400,78,7,gu33aj,gl193qw,1,Dispatched,2021-10-31 06:52:49.698119600,Delivered,2021-11-01 06:58:07.851921200
BRU00005624,Toothbrush 2000,2021-09-14 19:58:41.339209599,87,7,bn36qe,de560ra,1,Dispatched,2021-09-15 02:39:00.946067199,Delivered,2021-09-16 09:04:28.042627599
BRU00003247,Toothbrush 2000,2021-10-15 00:57:30.496755200,61,9,dt34db,dt102al,1,Dispatched,2021-10-15 08:15:01.275029600,Delivered,2021-10-16 01:24:59.006663600
BRU00000060,Toothbrush 2000,2021-05-16 16:41:39.833684400,77,2,ct102ys,b743pa,1,Dispatched,2021-05-17 00:00:27.955474800,Delivered,2021-05-18 07:26:29.778160800
BRU00003139,Toothbrush 4000,2021-03-22 14:33:10.543903600,23,2,gu358ss,co50jj,1,Dispatched,2021-03-22 21:17:34.659510400,Delivered,2021-03-23 22:35:30.600006400
BRU00003768,Toothbrush 4000,2021-11-08 04:15:53.369782800,21,3,ha36ly,fy15re,1,Dispatched,2021-11-08 10:55:08.193844800,Delivered,2021-11-09 10:08:47.163486000
BRU00003859,Toothbrush 4000,2021-01-05 06:26:55.778379200,33,2,br14dj,co70ny,1,Dispatched,2021-01-05 14:10:01.217094800,Delivered,2021-01-06 19:36:04.515165200
BRU00000414,Toothbrush 4000,2022-11-14 05:36:12.370507600,41,7,ch663jr,dn319gn,1,Dispatched,2022-11-14 12:20:21.334754800,Delivered,2022-11-15 13:58:22.122732400
BRU00005045,Toothbrush 2000,2021-08-24 17:58:22.088539200,77,4,de159rg,cf371pb,1,Dispatched,2021-08-25 00:45:03.009391200,Delivered,2021-08-26 00:00:37.871928000
BRU00002787,Toothbrush 2000,2021-03-02 03:29:50.471891600,78,3,ch627fl,b476jb,1,Dispatched,2021-03-02 10:44:50.515635200,Delivered,2021-03-03 13:43:16.256910800
BRU00003447,Toothbrush 2000,2021-11-19 13:21:39.536998000,88,5,dg88bd,eh478nl,1,Dispatched,2021-11-19 21:09:31.726769200,Delivered,2021-11-21 05:20:42.383232400
BRU00001404,Toothbrush 4000,2022-09-30 12:34:25.770172000,32,5,cr29ng,ch76jb,1,Dispatched,2022-09-30 19:23:12.524336800,Delivered,2022-10-02 02:51:01.497757600
BRU00005064,Toothbrush 4000,2021-05-20 18:00:38.828131600,25,6,gl72ds,bs42db,1,Dispatched,2021-05-21 01:06:56.728685200,Delivered,2021-05-22 06:23:43.422338800
BRU00004707,Toothbrush 2000,2021-10-03 17:00:12.944937600,63,2,b120pj,cv319sr,1,Dispatched,2021-10-03 23:47:33.391136400,Delivered,2021-10-05 03:25:50.964715200
BRU00000748,Toothbrush 4000,2022-04-13 00:57:41.158314800,41,9,cf349ap,cv64qa,1,Dispatched,2022-04-13 08:00:59.517353600,Delivered,2022-04-14 05:50:27.348350000
BRU00000697,Toothbrush 4000,2022-05-24 09:06:06.912098400,30,3,dy40pl,gl51lb,1,Dispatched,2022-05-24 16:40:25.743407999,Delivered,2022-05-25 19:17:39.478571999
BRU00001600,Toothbrush 2000,2022-08-15 21:41:04.445862400,72,8,b276da,cf314se,1,Dispatched,2022-08-16 05:19:52.590108400,Delivered,2022-08-17 06:37:05.072963200
BRU00002462,Toothbrush 2000,2022-05-26 23:59:39.670708400,54,8,en107as,cf356bj,1,Dispatched,2022-05-27 06:55:44.300890400,Delivered,2022-05-28 07:20:33.371500400
BRU00004220,Toothbrush 4000,2022-02-25 11:31:36.227322400,21,8,ab219lt,bl09hx,1,Dispatched,2022-02-25 18:31:13.664380000,Delivered,2022-02-27 00:55:21.147660400
BRU00003570,Toothbrush 2000,2022-09-07 21:26:10.000642400,78,1,bh49jz,bb29sx,1,Dispatched,2022-09-08 05:10:30.022689200,Delivered,2022-09-09 08:56:19.601277200
BRU00002699,Toothbrush 4000,2021-06-10 10:14:34.695244400,22,9,hx50ay,ch462qx,1,Dispatched,2021-06-10 16:59:38.645020400,Delivered,2021-06-11 20:10:10.997926400
BRU00001111,Toothbrush 2000,2022-06-04 00:56:31.802091600,75,1,cv327qy,al54pb,1,Dispatched,2022-06-04 07:03:40.562926800,Delivered,2022-06-05 07:52:32.565531600
BRU00004515,Toothbrush 2000,2021-01-25 04:41:29.656040400,80,8,ch623ad,hd34ht,1,Dispatched,2021-01-25 12:46:27.895815600,Delivered,2021-01-26 17:32:16.396153200
BRU00003330,Toothbrush 4000,2022-04-12 19:21:06.197846800,22,5,ha46tf,hr13je,1,Dispatched,2022-04-13 01:39:20.883431200,Delivered,2022-04-14 03:32:30.935666800
BRU00003500,Toothbrush 4000,2021-12-12 09:23:08.725580000,28,8,gu67hj,fk82at,1,Dispatched,2021-12-12 16:35:42.822598400,Delivered,2021-12-13 18:21:28.572622400
BRU00003344,Toothbrush 2000,2021-01-24 06:18:52.238714000,71,9,gu147bj,bn25pf,1,Dispatched,2021-01-24 12:55:27.782007200,Delivered,2021-01-25 12:47:06.350765600
